"ID_REF"	"GSM3753011"	"GSM3753012"	"GSM3753013"	"GSM3753014"	"GSM3753015"	"GSM3753016"
"236199_at"	47.79399	58.69047	59.4712	51.07172	60.369728	58.910587
"236200_at"	64.75527	56.293747	54.34047	68.737114	43.75228	66.94492
"236201_at"	9.63891	11.423516	8.572886	8.046448	13.736797	8.444296
"236202_at"	41.57062	40.264236	37.140514	40.41705	42.515076	36.474987
"236203_at"	4.9308634	5.660606	4.264144	4.956412	4.805972	4.365533
"236204_at"	32.952892	32.408066	33.530407	33.216118	36.806934	34.84321
"236205_at"	8.006988	7.294746	7.8294096	7.1936884	7.8373036	7.3139305
"236206_at"	26.563684	23.411085	25.50762	22.91263	24.935713	28.235765
"236207_at"	59.15788	51.397614	44.83831	49.75369	44.639202	47.547394
"236208_at"	85.70996	96.04312	83.42198	75.563484	82.08637	109.31542
"236209_at"	141.80449	109.52678	195.20274	147.75008	132.48363	178.15013
"236210_at"	58.175854	79.91559	84.380684	73.416985	72.814575	63.53762
"236211_at"	31.251587	31.910362	27.063686	30.915783	24.08126	26.404825
"236212_at"	51.027077	57.919205	63.878315	51.63905	53.471325	55.686413
"236213_at"	47.250004	38.327736	44.228596	47.10513	47.61467	48.190098
"236214_at"	12.983459	15.986833	17.629343	14.89225	15.755024	14.466429
"236215_at"	23.803425	25.08371	26.6999	22.737608	32.402195	28.630375
"236216_at"	40.089657	38.249477	33.952644	36.626396	40.792637	34.61258
"236217_at"	31.680668	25.941093	24.26406	32.823296	25.652609	21.29124
"236218_at"	31.554556	39.534477	31.424177	40.00497	37.477108	28.599571
"236219_at"	154.86707	138.0598	93.90076	163.2647	160.56807	107.02264
"236220_at"	105.02668	83.40707	85.63988	107.97285	83.59369	122.38004
"236221_at"	24.607067	29.359768	28.360123	26.648157	28.047396	27.951946
"236222_at"	29.436169	29.979488	29.131483	37.342728	27.680483	33.61855
"236223_s_at"	10.165659	15.794112	7.9933395	9.69775	10.122004	10.17256
"236224_at"	25.581047	30.721453	24.593456	23.686684	23.17823	23.697027
"236225_at"	53.4948	62.036186	42.141968	52.80136	57.32659	53.91018
"236226_at"	85.76279	71.70112	77.499825	66.30391	60.821857	61.19338
"236227_at"	178.61124	183.35146	224.39384	167.37048	156.10455	236.14142
"236228_at"	25.126608	31.090864	21.70689	30.860847	29.434837	27.661203
"236229_at"	75.9536	73.15821	107.32306	83.637825	86.7534	91.4156
"236230_at"	16.396181	16.13797	17.888454	16.891088	14.495507	15.541728
"236231_at"	33.920475	27.63833	25.129524	28.685236	30.768745	30.87459
