ID_REF	DESCRIPTION	GSM637872	GSM637873	GSM637874	GSM637875	GSM637876	GSM637877
8173059		5.080267	4.997826	5.476338	5.194704	5.772437	5.380218
8173086		7.297316	7.293519	7.081935	7.288209	8.134576	7.976448
8173106		6.421243	6.280424	6.252493	6.112821	6.084244	6.07065
8173120		4.760153	4.74841	4.75106	4.977317	4.617335	4.918309
8173135		6.179077	6.225793	6.301138	6.11096	6.405821	6.2291
8173148		5.983882	5.67383	5.93021	5.881784	6.001963	6.060037
8173154		3.316606	3.100309	3.389824	3.214446	3.532856	3.255474
8173156		8.557076	7.760941	7.745973	6.658918	8.523616	7.687602
8173158		2.766028	2.645242	2.756216	2.880533	2.751981	2.865064
8173160		3.795072	3.544996	3.483058	3.523438	3.393103	3.277337
8173162		3.721047	4.326984	3.946509	3.787315	4.228159	4.339969
8173164		6.386912	5.922633	6.132661	6.020164	6.134646	6.146787
8173166		4.448936	4.336718	4.642862	4.892257	4.586562	4.600688
8173168		3.957937	4.09351	3.799794	4.036698	3.756437	3.798398
8173174		5.502336	5.578204	5.532753	5.579446	5.552619	5.280413
8173176		5.844515	6.129148	5.817383	5.971263	5.195665	5.583592
8173179		6.719964	6.656957	6.783181	6.947082	7.001201	6.807306
8173181		5.857457	5.611739	6.675479	6.638067	6.517528	6.407417
8173189		8.162301	8.279215	8.437478	8.164269	8.560244	8.794823
8173198		5.17906	4.814582	4.846207	4.943581	5.257179	4.926088
8173201		9.406448	9.302061	9.400074	9.437038	9.386145	9.441223
8173204		6.21585	6.055698	6.013768	6.01881	6.19182	6.425901
8173206		8.843809	8.916069	9.114112	8.834737	9.144723	9.269892
8173208		7.628901	7.492933	7.990528	7.555128	8.071679	7.92838
8173217		8.111594	7.807393	8.056075	8.419945	8.344255	8.108357
8173232		7.112236	6.825615	6.837917	7.061605	6.903889	6.963063
8173238		4.985838	4.952596	5.268625	5.355654	4.908664	4.967984
8173245		5.830612	5.62746	6.87608	6.942945	5.537121	5.706083
8173261		7.068273	6.712639	7.796223	7.680008	7.197678	7.615452
8173269		9.456781	9.239065	9.410894	9.434246	10.09765	10.31097
8173287		4.908814	4.87427	4.831493	4.835778	4.826982	4.843634
8173299		5.097513	5.060943	5.043387	5.217663	5.080555	5.001995
8173308		2.86559	2.820922	2.769396	2.892401	2.803582	2.865451
8173310		8.373142	8.320253	9.140598	8.907098	8.574422	8.514257
8173338		3.37185	3.542859	3.550994	3.820882	3.274745	3.288637
8173340		8.042605	7.736783	7.891759	7.942983	8.283756	8.011922
8173349		5.373292	5.418525	5.269403	5.325858	5.391074	5.264155
8173358		3.397371	3.09139	3.169978	3.602884	3.068403	3.053942
8173360		5.419294	5.246873	5.305099	5.41565	5.329206	5.400519
8173362		3.064859	3.052717	3.277016	3.3779	3.018859	3.148216
8173364		5.838291	6.112152	5.782939	5.75704	5.963104	5.683064
8173366		5.999372	6.010141	5.831716	5.966982	5.939321	5.921268
8173373		5.832386	5.628314	6.515304	6.335347	6.106375	6.459573
8173381		4.402859	4.252328	4.21146	4.33005	4.046962	4.241395
8173412		4.041743	3.858743	3.663046	3.746024	3.600206	3.611401
8173414		5.288269	5.543558	5.315441	5.028749	5.35242	5.2325
8173428		7.611923	7.660176	7.264884	7.444457	7.385291	7.363458
8173430		8.823836	8.704244	8.924911	8.833211	9.174205	9.152345
8173437		4.923756	4.597744	4.546821	4.702317	4.708675	4.706248
8173444		5.299253	5.309278	5.593745	5.330482	5.267808	5.148257
8173457		8.413587	8.232464	8.605803	8.779594	8.951077	9.182567
8173486		6.375672	6.599739	6.364652	6.473107	6.247523	6.467558
8173493		7.053223	7.053679	6.646124	7.139455	6.849511	6.938646
8173501		2.780791	2.650464	2.796681	2.867536	2.742012	3.076045
8173503		6.620396	6.668256	6.417008	6.399582	7.217456	7.302172
8173506		7.742334	7.429704	8.510545	8.072964	8.311173	8.655885
8173513		13.39116	13.3404	13.42918	13.46511	13.44921	13.41724
8173522		4.716085	4.482072	3.881323	4.10989	4.35194	3.939424
8173524		6.29957	6.828948	6.076305	6.293194	6.263029	6.406199
8173531		7.980824	7.687083	8.576916	8.264049	8.430593	8.662868
8173549		4.652574	4.564483	4.774244	4.871259	4.715253	4.657526
8173551		8.442789	8.420897	8.314145	8.256392	8.605446	8.823081
8173579		3.584332	3.964882	3.662359	3.579453	3.833529	3.57786
8173581		5.163024	5.125456	4.696466	4.542675	4.674612	4.64522
8173583		5.9877	6.183444	5.904795	5.903192	5.99293	6.073183
8173596		6.553183	6.44237	6.420506	6.419888	6.294969	6.217018
8173600		4.405475	4.384136	6.785603	6.537439	4.479753	4.426061
8173605		3.974929	3.97365	3.834538	3.719755	3.976883	4.074225
8173607		6.889879	7.056035	7.31243	7.212262	7.104343	7.086629
